Date;Age;Gender;Position ;Experience;Seniority_level;Programming_language;Salary;Vacation_days;Employment_status;Contract_duration;Language;Company_size
24.11.2020 11:21;34;Male;Software Architect;15;Lead;NodeJS;100000;24;Full-time employee;Unlimited contract;English;extra-large
24.11.2020 11:22;25;Male;Software Engineer;5;Senior;Javascript;65000;28;Full-time employee;Unlimited contract;German;extra-large
24.11.2020 11:23;59;Male;Backend Developer;30;Senior;Java;69000;28;Full-time employee;Unlimited contract;German;large
24.11.2020 11:23;36;Male;Software Engineer;17;Lead;PHP;70000;28;Full-time employee;Unlimited contract;English;large
24.11.2020 11:25;38;Male;Team Lead;18;Lead;iOS;80000;28;Full-time employee;Unlimited contract;English;large
24.11.2020 11:25;24;Male;DevOps;6;Senior;Kubernetes;75000;27;Full-time employee;Unlimited contract;English;large
24.11.2020 11:25;37;Male;Test manager;6;Middle;Charles;47400;28;Full-time employee;Unlimited contract;German;extra-large
24.11.2020 11:26;40;Male;Product Manager;13;Senior;SQL;70000;28;Full-time employee;Unlimited contract;English;large
24.11.2020 11:26;29;Male;Software Engineer;6;Lead;Go;85000;28;Full-time employee;Unlimited contract;English;large
24.11.2020 11:27;31;Male;Backend Developer;5;Middle;java;65000;28;Full-time employee;Unlimited contract;English;large
24.11.2020 11:27;29;Female;QA Engineer;7;Middle;;45000;26;Full-time employee;Unlimited contract;English;medium-size
24.11.2020 11:27;39;Male;Software Engineer;8;Senior;Java;80000;29;Full-time employee;Unlimited contract;English;medium-size
24.11.2020 11:28;27;Male;Software Engineer;8;Middle;Javascript;63000;24;Full-time employee;Unlimited contract;English;large
24.11.2020 11:28;33;Male;Data Scientist;5;Lead;Python;150000;24;Full-time employee;Unlimited contract;English;extra-large
24.11.2020 11:28;28;Female;Designer (UI/UX);7;Middle;Figma;45000;28;Full-time employee;Unlimited contract;German;extra-large
24.11.2020 11:29;30;Male;Software Engineer;8;Senior;JavaScript;80000;28;Full-time employee;Unlimited contract;English;large
24.11.2020 11:29;28;Male;Backend Developer;5;Senior;Kotlin;75000;25;Full-time employee;Unlimited contract;English;large
24.11.2020 11:29;38;Male;DevOps;10;Senior;Go/Python;70000;30;Full-time employee;Unlimited contract;English;medium-size
24.11.2020 11:30;29;Male;Frontend Developer;7;Senior;React;72000;27;Full-time employee;Unlimited contract;English;extra-large
24.11.2020 11:30;49;Male;Software Engineer;15;Senior;Java;67000;29;Full-time employee;Unlimited contract;German;extra-large
24.11.2020 11:30;32;Male;Frontend Developer;10;Senior;TypeScript;105000;60;Self-employed (freelancer);Temporary contract;English;large
24.11.2020 11:30;33;Female;Software Engineer;12;Senior;Đˇ#;88000;30;Full-time employee;Unlimited contract;English;extra-large
24.11.2020 11:30;30;Male;Software Engineer;6;Senior;Java;74000;27;Full-time employee;Unlimited contract;English;extra-large
24.11.2020 11:31;48;Male;Software Engineer;25;Senior;Java;75000;28;Full-time employee;Unlimited contract;English;large
24.11.2020 11:31;28;Female;Designer (UI/UX);5;Senior;;60000;20;Full-time employee;Unlimited contract;English;extra-large
24.11.2020 11:31;32;Male;Backend Developer;3;Middle;Java;77000;30;Full-time employee;Unlimited contract;English;large
24.11.2020 11:31;38;Female;Backend Developer;12;Senior;;70000;28;Full-time employee;Unlimited contract;English;extra-large
24.11.2020 11:31;31;Male;Software Engineer;7;Lead;Python;76000;27;Full-time employee;Unlimited contract;English;large
24.11.2020 11:32;35;Male;Backend Developer;10;Senior;Ruby;75000;30;Full-time employee;Unlimited contract;English;large
24.11.2020 11:32;28;Female;Designer (UI/UX);7;Middle;Figma;45000;28;Full-time employee;Unlimited contract;German;extra-large
24.11.2020 11:32;29;Female;QA Engineer;8;Senior;;60000;28;Full-time employee;Unlimited contract;English;medium-size
24.11.2020 11:32;32;Male;Backend Developer;8;Senior;PHP;65000;30;Full-time employee;Unlimited contract;English;small
24.11.2020 11:32;44;Male;Backend Developer;12;Senior;Java;68000;26;Full-time employee;Unlimited contract;English;small
24.11.2020 11:33;35;Male;Software Engineer;11;Senior;Php;65000;29;Full-time employee;Unlimited contract;German;large
24.11.2020 11:33;29;Male;Software Engineer;5;Senior;Go;75000;30;Full-time employee;Unlimited contract;English;large
24.11.2020 11:33;66;Male;Software Engineer;40;Lead;ruby on rails;70000;30;Full-time employee;Unlimited contract;German;medium-size
24.11.2020 11:35;39;Female;Software Engineer;10;Senior;Java;70500;30;Full-time employee;Unlimited contract;German;large
24.11.2020 11:36;28;Male;Backend Developer;5;Senior;Kotlin;72000;28;Full-time employee;Unlimited contract;English;large
24.11.2020 11:37;34;Male;Frontend Developer;5;Senior;JavaScript/ES6;73500;27;Full-time employee;Unlimited contract;English;small
24.11.2020 11:37;34;Male;Software Engineer;13;Lead;.NET;72000;30;Full-time employee;Unlimited contract;English;medium-size
24.11.2020 11:38;32;Male;Frontend Developer;7;Senior;Javascript;62000;30;Full-time employee;Unlimited contract;German;large
24.11.2020 11:38;38;Male;Hardware Engineer;15;Lead;Hardware;83000;30;Full-time employee;Unlimited contract;English;extra-large
24.11.2020 11:38;32;Male;Data Scientist;10;Head;;110000;30;Full-time employee;Unlimited contract;English;extra-large
24.11.2020 11:38;45;Male;Software Engineer;26;Senior;C#;93000;30;Full-time employee;Unlimited contract;German;extra-large
24.11.2020 11:40;28;Male;Software Engineer;3;Middle;Js;55000;22;Full-time employee;Unlimited contract;English;small
24.11.2020 11:40;29;Male;Mobile Developer;6;Middle;android;53000;26;Full-time employee;Unlimited contract;English;small
24.11.2020 11:40;36;Male;Backend Developer;15;Senior;java;55000;28;Full-time employee;Unlimited contract;English;extra-large
24.11.2020 11:40;39;Male;Software Engineer;10;Senior;C#;75000;30;Full-time employee;Unlimited contract;German;extra-large
24.11.2020 11:40;29;Male;Software Engineer;7;Senior;JavaScript ;80000;24;Full-time employee;Unlimited contract;English;extra-large
24.11.2020 11:42;31;Male;Engineering Manager;11;Lead;Java;80000;27;Full-time employee;Unlimited contract;English;large
24.11.2020 11:43;30;Male;Backend Developer;5;Middle;Java;55000;27;Full-time employee;Unlimited contract;English;extra-large
24.11.2020 11:43;30;Male;DevOps;8;Middle;;70200;30;Full-time employee;Unlimited contract;English;extra-large
24.11.2020 11:43;33;Male;Software Engineer;4;Middle;Java;50000;24;Full-time employee;Unlimited contract;English;small
24.11.2020 11:44;27;Male;Software Engineer;5;Senior;Scala;78000;30;Full-time employee;Unlimited contract;English;extra-large
24.11.2020 11:44;26;Female;Data Scientist;6;Middle;python;60000;26;Full-time employee;Unlimited contract;English;extra-large
24.11.2020 11:44;26;Male;Software Engineer;8;Lead;Go;85000;28;Full-time employee;Unlimited contract;English;extra-large
24.11.2020 11:44;31;Female;Analytics engineer;6;Middle;SQL;60000;27;Full-time employee;Unlimited contract;English;large
24.11.2020 11:44;30;Male;Software Engineer;10;Senior;Scala;72000;28;Full-time employee;Unlimited contract;English;large
24.11.2020 11:44;38;Male;Localization producer;17;Middle;;68500;25;Full-time employee;Unlimited contract;English;extra-large
24.11.2020 11:44;43;Male;Mobile Developer;5;Senior;Kotlin;72000;30;Full-time employee;Unlimited contract;English;extra-large
24.11.2020 11:45;33;Male;Software Engineer;5;Middle;python;65000;30;Full-time employee;Unlimited contract;English;large
24.11.2020 11:45;31;Male;Software Engineer;9;Senior;C#, .net core;60000;25;Full-time employee;Unlimited contract;English;small
24.11.2020 11:46;32;Female;QA Engineer;10;Senior;Java;61000;30;Full-time employee;Unlimited contract;English;large
24.11.2020 11:46;24;Male;Data Scientist;4;Senior;Python;73000;24;Full-time employee;Unlimited contract;English;large
24.11.2020 11:46;29;Male;DevOps;7;Lead;Kubernetes;78000;28;Full-time employee;Unlimited contract;English;large
24.11.2020 11:46;29;Male;Data Scientist;4;Senior;Python;81000;29;Full-time employee;Unlimited contract;English;large
24.11.2020 11:46;30;Male;Hardware Engineer;5;Senior;VHDL;75000;30;Full-time employee;Unlimited contract;English;large
24.11.2020 11:48;35;Female;Reporting Engineer;3;Middle;Power BI;55000;31;Full-time employee;Unlimited contract;German;extra-large
24.11.2020 11:48;27;Female;Account Managet;6;Senior;;50000;28;Full-time employee;Temporary contract;English;large
24.11.2020 11:49;33;Male;QA Engineer;5;Senior;Java;60000;30;Full-time employee;Unlimited contract;English;extra-large
24.11.2020 11:50;28;Male;Software Engineer;8;Lead;PHP ;80000;30;Full-time employee;Unlimited contract;English;large
24.11.2020 11:50;31;Female;agile master ;14;Middle;none;80000;30;Full-time employee;Unlimited contract;German;extra-large
24.11.2020 11:50;32;Male;Software Engineer;7;Senior;Android;60000;38;Full-time employee;Unlimited contract;English;medium-size
24.11.2020 11:50;30;Male;Backend Developer;8;Senior;Scala;80000;25;Full-time employee;Unlimited contract;English;extra-large
24.11.2020 11:50;26;Male;Backend Developer;7;Senior;Java;78000;27;Full-time employee;Unlimited contract;English;large
24.11.2020 11:51;31;Male;Software Engineer;10;Senior;Java;68000;30;Full-time employee;Unlimited contract;English;extra-large
24.11.2020 11:52;38;Female;QA Engineer;6;Middle;Java;62000;26;Full-time employee;Unlimited contract;English;extra-large
24.11.2020 11:53;37;Male;Software Engineer;10;Senior;PHP;55000;26;Full-time employee;Unlimited contract;English;small
24.11.2020 11:54;25;Male;Software Engineer;3;Middle;Java;62000;30;Full-time employee;Unlimited contract;English;large
24.11.2020 11:54;36;Male;Frontend Developer;12;Senior;JavaScript;72000;26;Full-time employee;Unlimited contract;English;micro
24.11.2020 11:54;27;Male;QA Engineer;5;Senior;Swift;58000;30;Full-time employee;Unlimited contract;English;extra-large
24.11.2020 11:55;35;Male;ML Engineer;12;Senior;ML;120000;30;Full-time employee;Unlimited contract;English;extra-large
24.11.2020 11:55;37;Male;Software Engineer;15;Senior;php;75000;30;Full-time employee;Unlimited contract;German;large
24.11.2020 11:55;26;Male;Data Scientist;3;Middle;Python;65000;30;Full-time employee;Unlimited contract;English;large
24.11.2020 11:55;33;Male;Solution Architect;6;Middle;Python;85000;28;Full-time employee;Unlimited contract;English;extra-large
24.11.2020 11:56;34;Male;Frontend Developer;7;Senior;JavaScript;65000;25;Full-time employee;Unlimited contract;English;micro
24.11.2020 11:56;33;Male;Backend Developer;12;Lead;PHP;65000;27;Full-time employee;Unlimited contract;English;large
24.11.2020 11:56;29;Male;Backend Developer;8;Senior;Scala;72000;25;Full-time employee;Unlimited contract;English;large
24.11.2020 11:56;24;Male;Software Engineer;5;Middle;C++;79000;30;Full-time employee;Unlimited contract;English;extra-large
24.11.2020 11:57;28;Female;QA Engineer;6;Middle;;65000;25;Full-time employee;Unlimited contract;English;extra-large
24.11.2020 11:57;30;Female;Software Engineer;8;Senior;Scala, React.js;75000;35;Full-time employee;Unlimited contract;English;large
24.11.2020 11:57;28;Male;BI Consultant;8;Senior;SQL;60000;28;Full-time employee;Unlimited contract;English;micro
24.11.2020 11:58;31;Male;Backend Developer;11;Senior;PHP;80000;30;Full-time employee;Unlimited contract;English;extra-large
24.11.2020 11:59;28;Male;Mobile Developer;5;Senior;iOS;57000;30;Full-time employee;Unlimited contract;English;extra-large
24.11.2020 11:59;28;Male;Software Engineer;6;Senior;Java;65000;28;Full-time employee;Unlimited contract;English;small
24.11.2020 11:59;26;Female;Data Scientist;3;Junior;Ml/Python;70000;28;Full-time employee;Unlimited contract;English;extra-large
24.11.2020 12:00;33;Male;Mobile Developer;6;Middle;Swift;63000;28;Full-time employee;Unlimited contract;English;large
24.11.2020 12:00;41;Male;Product Manager;18;Middle;;72000;30;Full-time employee;Unlimited contract;English;extra-large
24.11.2020 12:00;31;Male;Software Engineer;9;Senior;C#, .net core;60000;25;Full-time employee;Unlimited contract;English;small
24.11.2020 12:01;30;Male;Frontend Developer;6;Senior;Javascript;75000;28;Full-time employee;Unlimited contract;English;medium-size
24.11.2020 12:01;31;Male;Frontend Developer;8;Senior;JavaScript/TypeScript;70000;24;Full-time employee;Unlimited contract;English;large
24.11.2020 12:02;37;Male;Backend Developer;12;Senior;php;62000;28;Full-time employee;Unlimited contract;English;large
24.11.2020 12:04;34;Male;;17;Lead;Java;120000;32;Full-time employee;Unlimited contract;German;extra-large
24.11.2020 12:06;25;Male;Backend Developer;5;Senior;Java;75000;24;Full-time employee;Unlimited contract;English;large
24.11.2020 12:06;36;Male;Backend Developer;19;Senior;PHP;69000;28;Full-time employee;Unlimited contract;English;large
24.11.2020 12:06;40;Male;Frontend Developer;7;Middle;Javascript;54000;24;Full-time employee;Unlimited contract;English;small
24.11.2020 12:07;37;Male;Product Manager;6;Middle;;62000;30;Full-time employee;Unlimited contract;German;large
24.11.2020 12:07;35;Male;Software Engineer;13;Senior;Java;80000;40;Full-time employee;Unlimited contract;English;large
24.11.2020 12:07;42;Male;Software Engineer;20;Senior;Ruby on Rails;80000;27;Full-time employee;Unlimited contract;German;medium-size
24.11.2020 12:07;34;Male;QA Engineer;10;Senior;Java;75000;28;Full-time employee;Unlimited contract;English;large
24.11.2020 12:07;30;Male;Backend Developer;6;Senior;Ruby;75000;30;Full-time employee;Unlimited contract;English;large
24.11.2020 12:08;35;Male;Software Engineer;12;Senior;C#;70000;25;Full-time employee;Unlimited contract;English;extra-large
24.11.2020 12:09;34;Male;Cloud Architect;10;Senior;Azure, SAP;120000;30;Full-time employee;Unlimited contract;English;extra-large
24.11.2020 12:09;35;Male;Designer (UI/UX);10;Senior;;70000;25;Full-time employee;Unlimited contract;English;medium-size
24.11.2020 12:09;35;Male;System Administrator;14;Middle;;44000;27;Full-time employee;Temporary contract;English;large
24.11.2020 12:09;28;Male;Software Engineer;7;Senior;Scala;80000;30;Full-time employee;Unlimited contract;English;large
24.11.2020 12:10;35;Male;Frontend Developer;4;Middle;JavaScript;50000;28;Full-time employee;Unlimited contract;English;large
24.11.2020 12:10;31;Female;QA Engineer;7;Senior;Java;68000;30;Full-time employee;Unlimited contract;English;extra-large
24.11.2020 12:11;35;Male;Software Engineer;12;Senior;java;66000;25;Full-time employee;Unlimited contract;German;medium-size
24.11.2020 12:12;28;Male;Product Manager;3;Middle;;51000;27;Full-time employee;Unlimited contract;English;medium-size
24.11.2020 12:12;25;Male;Backend Developer;4;Middle;Python;60000;24;Full-time employee;Unlimited contract;English;small
24.11.2020 12:13;42;Female;QA Engineer;20;Middle;python;55000;30;Full-time employee;Unlimited contract;English;extra-large
24.11.2020 12:14;30;Male;Product Manager;7;Head;;150000;25;Full-time employee;Unlimited contract;English;extra-large
24.11.2020 12:14;40;Female;Software Engineer;20;Middle;Java;54000;30;Full-time employee;Unlimited contract;German;large
24.11.2020 12:14;36;Female;Project Manager;14;Middle;;62000;30;Full-time employee;Unlimited contract;English;extra-large
24.11.2020 12:14;37;Male;Software Engineer;8;Junior;Java;60000;28;Full-time employee;Unlimited contract;English;medium-size
24.11.2020 12:15;33;Male;Software Engineer;10;Senior;Java;75000;30;Full-time employee;Unlimited contract;English;large
24.11.2020 12:16;38;Male;Software Engineer;11;Senior;PHP;55000;26;Full-time employee;Unlimited contract;English;large
24.11.2020 12:16;27;Male;Frontend Developer;4;Senior;Frontend;60000;28;Full-time employee;Unlimited contract;English;medium-size
24.11.2020 12:17;33;Male;Software Engineer;7;Senior;Java, JavaScript;62000;30;Full-time employee;Unlimited contract;English;extra-large
24.11.2020 12:17;34;Male;Data Scientist;12;Senior;;77500;25;Full-time employee;Unlimited contract;English;large
24.11.2020 12:17;36;Female;Backend Developer;5;Middle;PHP;60000;28;Full-time employee;Unlimited contract;English;large
24.11.2020 12:17;42;Male;DevOps;22;Lead;yaml;70000;24;Full-time employee;Unlimited contract;English;extra-large
24.11.2020 12:18;32;Male;Network Engineer ;10;Senior;Python ;68500;25;Full-time employee;Unlimited contract;English;large
24.11.2020 12:21;31;Male;Frontend Developer;10;Senior;Javascript;71060;28;Full-time employee;Unlimited contract;English;medium-size
24.11.2020 12:21;33;Female;QA Engineer;6;Middle;Java;60000;28;Full-time employee;Unlimited contract;English;large
24.11.2020 12:23;28;Male;Backend Developer;6;Senior;Java;70000;30;Full-time employee;Unlimited contract;English;large
24.11.2020 12:23;46;Male;Agile Coach;4;Senior;;82000;30;Full-time employee;Unlimited contract;English;large
24.11.2020 12:26;31;Male;Software Engineer;9;Senior;Python;90000;30;Full-time employee;Unlimited contract;English;extra-large
24.11.2020 12:26;28;Male;Mobile Developer;5;Lead;Swift;70800;28;Full-time employee;Unlimited contract;English;small
24.11.2020 12:27;29;Male;Software Engineer;8;Middle;PHP;55000;24;Full-time employee;Unlimited contract;English;small
24.11.2020 12:27;40;Male;Mobile Developer;25;Lead;Swift;85000;30;Full-time employee;Unlimited contract;English;small
24.11.2020 12:28;46;Male;QA Engineer;13;Senior;Java;70000;28;Full-time employee;Unlimited contract;German;large
24.11.2020 12:28;33;Male;Backend Developer;5;Middle;Java;66000;30;Full-time employee;Unlimited contract;English;large
24.11.2020 12:28;33;Male;ML Engineer;10;Middle;Python;62000;28;Full-time employee;Unlimited contract;English;medium-size
24.11.2020 12:28;34;Male;Software Engineer;14;Lead;Java;95000;30;Full-time employee;Unlimited contract;English;extra-large
24.11.2020 12:28;36;Male;Backend Developer;18;Senior;PHP;65000;26;Full-time employee;Unlimited contract;English;large
24.11.2020 12:29;33;Female;QA Engineer;8;Senior;-;50000;24;Full-time employee;Unlimited contract;English;small
24.11.2020 12:30;32;Male;Software Engineer;11;Lead;Android;80000;28;Full-time employee;Unlimited contract;English;large
24.11.2020 12:35;46;Male;Software Engineer;14;Senior;JavaScript;80000;30;Full-time employee;Unlimited contract;English;medium-size
24.11.2020 12:36;30;Male;Mobile Developer;8;Senior;Kotlin;66000;30;Full-time employee;Unlimited contract;English;extra-large
24.11.2020 12:40;31;Male;Data Scientist;10;Lead;Python ;115000;28;Full-time employee;Unlimited contract;English;extra-large
24.11.2020 12:41;46;Male;Scrum Master;12;Senior;Agile;85000;30;Full-time employee;Unlimited contract;German;extra-large
24.11.2020 12:44;26;Male;Mobile Developer;6;Senior;Kotlin;70000;30;Full-time employee;Unlimited contract;English;large
24.11.2020 12:44;31;Male;Firmware Engineer;10;Senior;C;45000;30;Full-time employee;Temporary contract;English;small
24.11.2020 12:47;31;Male;Frontend Developer;12;Lead;TypeScript, JavaScript;85000;29;Full-time employee;Unlimited contract;English;small
24.11.2020 12:48;30;Female;QA Engineer;5;Middle;Python ;50000;30;Full-time employee;Unlimited contract;German;large
24.11.2020 12:50;35;Male;Software Engineer;13;Lead;Pegasystems platform ;140000;28;Full-time employee;Unlimited contract;English;medium-size
24.11.2020 12:51;33;Male;Software Engineer;12;Senior;Javascript;120000;28;Self-employed (freelancer);Temporary contract;English;large
24.11.2020 12:54;36;Male;Solutions Architect;12;Lead;Cloud;105000;28;Full-time employee;Unlimited contract;English;extra-large
24.11.2020 12:55;40;Male;Software Engineer;13;Senior;;77000;30;Full-time employee;Unlimited contract;English;extra-large
24.11.2020 12:55;35;Female;Software Engineer;15;Senior;C#;76000;30;Full-time employee;Unlimited contract;German;extra-large
24.11.2020 12:58;32;Male;Fullstack Developer;9;Senior;Java;70000;26;Full-time employee;Unlimited contract;English;small
24.11.2020 12:59;29;Male;Software Engineer;8;Senior;Go;70000;30;Full-time employee;Unlimited contract;English;extra-large
24.11.2020 13:00;30;Male;Software Engineer;9;Middle;Java;63000;30;Full-time employee;Unlimited contract;German;large
24.11.2020 13:01;35;Male;ML Engineer;10;Lead;Scala;96000;30;Full-time employee;Unlimited contract;English;small
24.11.2020 13:02;29;Male;Software Engineer;7;Senior;Python;64000;30;Full-time employee;Unlimited contract;English;large
24.11.2020 13:05;32;Female;Product Manager;10;Senior;;60000;30;Full-time employee;Unlimited contract;English;medium-size
24.11.2020 13:05;30;Female;Mobile Developer;10;Senior;Swift;65000;30;Full-time employee;Unlimited contract;English;extra-large
24.11.2020 13:05;25;Male;Software Engineer;6;Middle;Java;61500;28;Full-time employee;Unlimited contract;English;extra-large
24.11.2020 13:07;43;Male;Software Engineer;20;Senior;Python;79000;27;Full-time employee;Unlimited contract;English;extra-large
24.11.2020 13:07;38;Male;Software Engineer;16;Senior;Python;65000;26;Full-time employee;Unlimited contract;English;extra-large
24.11.2020 13:09;26;Male;Software Engineer;5;Middle;Scala;63000;28;Full-time employee;Unlimited contract;English;large
24.11.2020 13:09;25;Female;Product Manager;3;Middle;--;62000;30;Full-time employee;Unlimited contract;English;extra-large
24.11.2020 13:11;34;Male;Software Engineer;12;Lead;python;95000;30;Full-time employee;Unlimited contract;English;small
24.11.2020 13:14;34;Male;Designer (UI/UX);11;Senior;;60000;28;Full-time employee;Unlimited contract;English;small
24.11.2020 13:14;27;Male;Backend Developer;5;Middle;Java;65000;30;Full-time employee;Unlimited contract;English;extra-large
24.11.2020 13:16;30;Male;Mobile Developer;3;Senior;Swift;58000;28;Full-time employee;Unlimited contract;English;small
24.11.2020 13:21;34;Male;Data Scientist;5;Middle;Python;65000;30;Full-time employee;Unlimited contract;English;large
24.11.2020 13:23;36;Female;QA Engineer;14;Lead;Java;69000;30;Full-time employee;Unlimited contract;English;small
24.11.2020 13:25;27;Male;Backend Developer;5;Middle;Java;65000;30;Full-time employee;Unlimited contract;English;extra-large
24.11.2020 13:25;45;Male;Mobile Developer;10;Lead;SWIFT;77000;28;Full-time employee;Unlimited contract;English;large
24.11.2020 13:29;35;Male;Backend Developer;6;Senior;Java, angular, Aws;74000;30;Full-time employee;Unlimited contract;English;medium-size
24.11.2020 13:32;36;Male;Engineering Manager;7;Lead;Swift, objective-c;80000;26;Full-time employee;Unlimited contract;English;extra-large
24.11.2020 13:33;32;Male;QA Engineer;9;Senior;Java;60000;30;Full-time employee;Unlimited contract;German;extra-large
24.11.2020 13:35;33;Male;DevOps;14;Senior;Golang;70000;30;Full-time employee;Unlimited contract;English;large
24.11.2020 13:36;30;Male;Backend Developer;10;Middle;PHP;56000;30;Full-time employee;Unlimited contract;English;extra-large
24.11.2020 13:37;35;Male;Software Engineer;15;Senior;go;70000;28;Full-time employee;Unlimited contract;English;medium-size
24.11.2020 13:40;25;Male;Backend Developer;4;Middle;Java;60000;30;Full-time employee;Unlimited contract;German;large
24.11.2020 13:40;29;Male;Mobile Developer;8;Senior;Kotlin;65000;26;Full-time employee;Unlimited contract;English;large
24.11.2020 13:41;32;Male;DevOps Manager;10;Lead;DevOps;100000;30;Full-time employee;Unlimited contract;English;extra-large
24.11.2020 13:42;32;Male;Software Engineer;11;Senior;.net;60000;30;Full-time employee;Unlimited contract;English;extra-large
24.11.2020 13:50;24;Male;Software Engineer;3;Middle;Node.js;58000;28;Full-time employee;Unlimited contract;English;extra-large
24.11.2020 13:51;24;Female;Software Engineer;2;Middle;iOS;55200;30;Full-time employee;Unlimited contract;English;small
24.11.2020 13:53;56;Male;Software Engineer;9;Senior;R;75000;30;Full-time employee;Temporary contract;German;extra-large
24.11.2020 13:55;25;Male;ML Engineer;1;Middle;Python;65000;30;Full-time employee;Unlimited contract;English;extra-large
24.11.2020 13:55;28;Male;Software Engineer;8;Senior;C++;67200;30;Full-time employee;Unlimited contract;English;extra-large
24.11.2020 13:58;30;Male;Software Engineer;7;Senior;C++;100000;30;Full-time employee;Unlimited contract;English;extra-large
24.11.2020 14:00;26;Female;Software Engineer;6;Senior;.NET;65000;27;Full-time employee;Unlimited contract;English;large
24.11.2020 14:01;31;Female;Data Scientist;4;Middle;R;65000;30;Full-time employee;Unlimited contract;German;extra-large
24.11.2020 14:02;31;Male;Software Engineer;9;Middle;C++;92500;30;Full-time employee;Unlimited contract;English;extra-large
24.11.2020 14:03;29;Female;QA Engineer;6;Middle;JS;54000;26;Full-time employee;Unlimited contract;English;large
24.11.2020 14:03;33;Male;Backend Developer;15;Lead;Scala;100000;30;Full-time employee;Unlimited contract;English;small
24.11.2020 14:06;30;Female;QA Engineer;6;Senior;Bash;70000;30;Full-time employee;Unlimited contract;German;extra-large
24.11.2020 14:07;34;Male;Software Engineer;14;Senior;C#;72000;26;Full-time employee;Unlimited contract;English;large
24.11.2020 14:07;37;Male;Team Lead;12;Head;Python;90000;30;Full-time employee;Unlimited contract;English;small
24.11.2020 14:13;28;Male;Network Administrator;9;Senior;Network;61200;30;Full-time employee;Unlimited contract;English;extra-large
24.11.2020 14:14;35;Male;Security Manager;14;Senior;;80000;30;Full-time employee;Unlimited contract;German;extra-large
24.11.2020 14:17;31;Male;QA Engineer;10;Senior;nothing;60000;28;Full-time employee;Unlimited contract;English;extra-large
24.11.2020 14:21;29;Male;Consultant Data Analytics;1;Junior;Python;45000;30;Full-time employee;Unlimited contract;German;extra-large
24.11.2020 14:24;39;Male;BI IT Consultant;5;Middle;Qlik BI Tool, SQL;56000;30;Full-time employee;Unlimited contract;German;extra-large
24.11.2020 14:26;31;Female;Graphic Designer;11;Middle;;32000;27;Full-time employee;Temporary contract;English;large
24.11.2020 14:28;29;Male;Backend Developer;8;Senior;Java;95000;30;Full-time employee;Unlimited contract;English;extra-large
24.11.2020 14:29;36;Male;Frontend Developer;1;Junior;Javascript;37500;28;Full-time employee;Temporary contract;German;micro
24.11.2020 14:30;33;Male;iOS Developer;10;Middle;Swift;67000;29;Full-time employee;Unlimited contract;English;extra-large
24.11.2020 14:34;37;Male;Cloud Engineer;15;Senior;Cloud;72000;36;Full-time employee;Unlimited contract;English;extra-large
24.11.2020 14:34;34;Male;Product Manager;7;Middle;;72000;28;Full-time employee;Unlimited contract;English;large
